,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
144,18,672.8,0,branca,privada,3,3,C
145,17,595.06,1,branca,privada,3,3,E
146,17,613.98,1,branca,exterior,4,4,N
147,18,587.34,0,parda,exterior,4,2,E
148,17,625.88,0,branca,publica,5,4,J
149,17,564.94,0,branca,privada,3,3,J
150,17,604.72,0,branca,exterior,4,2,J
151,17,538.66,0,branca,publica,2,2,E
152,17,564.68,0,branca,publica,4,4,C
153,18,580.44,1,branca,publica,4,4,D
154,17,613.9,1,branca,privada,4,4,K
155,23,530.62,1,branca,publica,1,3,G
156,18,618.32,0,parda,publica,3,2,G
157,17,680.14,1,parda,publica,4,4,K
158,17,579.46,1,branca,publica,4,4,C
159,17,476.92,0,branca,publica,3,2,G
160,17,509.48,1,branca,privada,4,4,H
161,18,499.3,1,parda,publica,3,2,E
162,17,650.5,1,branca,privada,5,2,E
163,18,434.64,0,branca,publica,5,4,C
164,18,506.76,1,branca,publica,3,3,F
165,17,522.58,1,parda,publica,2,2,C
166,17,554.88,1,parda,publica,3,2,C
167,17,557.78,1,parda,privada,4,4,F
168,18,509.22,0,parda,publica,4,2,O
169,17,503.5,1,parda,publica,2,2,D
170,18,519.08,1,parda,publica,3,4,E
171,17,523.56,1,branca,publica,3,2,E
172,17,558.82,0,parda,privada,4,4,I
173,18,466.52,0,branca,privada,4,4,I
174,17,544.62,1,preta,privada,3,4,F
175,17,562.04,0,parda,privada,4,4,I
176,17,709.28,1,parda,privada,4,2,J
177,17,588.02,1,parda,publica,4,2,G
178,18,513.44,1,parda,publica,3,3,F
179,18,511.22,1,parda,publica,5,2,D
180,17,726.48,0,branca,privada,4,4,P
181,17,516.82,0,branca,publica,2,4,C
182,17,596.72,1,amarela,privada,4,4,H
183,17,467.76,1,parda,publica,3,2,D
184,18,448.12,1,preta,publica,2,2,D
185,17,539.84,0,branca,privada,5,5,M
186,17,557.88,1,parda,publica,4,4,J
187,17,549.12,1,branca,privada,3,4,C
188,18,518.5,1,branca,publica,3,2,J
189,18,467.68,1,preta,publica,2,2,C
190,18,593.26,0,branca,publica,4,2,C
191,17,534.14,0,branca,publica,4,2,G
192,17,575.22,1,preta,privada,2,2,C
193,18,569.82,0,branca,privada,4,4,J
194,17,557.68,0,branca,publica,4,4,N
195,18,416.84,1,branca,publica,4,3,A
196,17,745.02,0,branca,privada,4,4,H
197,18,614.94,1,parda,privada,4,4,D
198,17,673.58,1,parda,publica,3,2,D
199,17,547.18,1,amarela,privada,4,5,G
200,17,634.92,1,branca,exterior,5,5,Q
201,18,564.18,0,preta,publica,2,3,D
202,16,583.74,1,branca,privada,4,5,J
203,17,562.32,0,branca,publica,2,2,E
204,17,700.2,1,parda,publica,4,2,G
205,18,583.86,1,parda,publica,3,3,H
206,17,629.3,1,branca,privada,5,5,J
207,17,613.64,1,branca,exterior,5,4,Q
208,19,529.6,0,parda,publica,3,3,E
209,18,487.04,0,branca,publica,3,4,H
210,19,490.14,1,branca,publica,2,4,C
211,18,539.3,1,branca,publica,3,2,G
212,18,505.84,1,branca,publica,3,2,C
213,18,547.52,0,branca,publica,5,4,P
214,18,435.9,1,preta,publica,3,2,C
215,17,565.22,0,branca,publica,3,2,C
216,19,477.2,0,branca,privada,5,5,L
217,18,609.5,0,preta,publica,4,4,I
218,18,523.96,1,branca,privada,4,4,N
219,18,587.82,1,branca,publica,3,2,E
220,17,481.58,1,branca,publica,3,2,E
221,18,524.24,1,preta,publica,2,4,C
222,19,461.1,0,branca,publica,5,4,C
223,17,576.12,1,parda,publica,4,4,H
224,18,727.64,1,branca,exterior,5,4,P
225,17,521.16,1,branca,publica,3,4,D
226,17,544.14,0,branca,publica,4,4,C
227,17,511.34,0,branca,publica,3,2,G
228,18,570,0,parda,privada,4,3,I
229,18,442.48,0,branca,publica,3,2,E
230,17,607.94,0,preta,publica,3,4,F
231,17,508.02,1,branca,publica,3,4,H
232,17,589.78,0,branca,privada,3,4,D
233,18,521.94,0,branca,publica,3,3,G
234,19,546.66,0,branca,privada,5,5,I
235,18,475.98,1,branca,publica,4,2,D
236,17,489.86,1,parda,publica,4,2,B
237,18,559.16,1,parda,publica,3,4,G
238,17,662.92,1,branca,privada,5,4,Q
239,17,582.52,1,branca,publica,3,3,C
240,17,332.48,0,parda,publica,2,2,D
241,17,590.68,0,branca,publica,1,1,F
242,18,635.5,1,branca,publica,4,4,D
243,17,675.62,1,parda,privada,2,4,G
244,18,492.94,0,branca,publica,2,4,G
245,17,460.68,1,branca,publica,3,2,F
246,17,650.32,0,branca,publica,4,4,K
247,19,410.84,1,branca,publica,5,5,F
248,18,527.3,1,branca,publica,3,2,F
249,18,573.06,0,branca,privada,2,4,I
250,19,546.38,1,branca,privada,5,4,I
251,17,626.76,1,branca,publica,4,2,L
